Route Name,Route Filename
Rye Dymchurch,routes/1.gpx
Etappe 1 Arundel Brighton,routes/2.gpx
Rockanje,routes/3.gpx
Guildford Bletchingley,routes/4.gpx
Villard steil linksom,routes/5.gpx
Littenweiler,routes/6.gpx
Les Bolles-du-Temple,routes/7.gpx
Bas,routes/8.gpx
Motiers,routes/9.gpx
Charing Heath to Canterbury,routes/10.gpx
Pigeon House Road-Sean Moore Road-Bath Avenue,routes/11.gpx
Guildford to Bletchingley,routes/12.gpx
Alemannenstraße-Tannenbergweg-Sonnenbergstraße,routes/13.gpx
Dublin 10k,routes/14.gpx
Maidstone to Charing Heath,routes/15.gpx
Landtong,routes/16.gpx
Villard via weg omhoog,routes/17.gpx
Villard steil rechtsom,routes/18.gpx
Bletchingley to Maidstone,routes/19.gpx
Guildford Canterbury,routes/20.gpx
Rye Dymchurch,routes/21.gpx
Etappe 1 Arundel Brighton,routes/22.gpx
Avinguda del Paral·lel-Carrer de la Creu dels Molers-Passeig de l'Exposició,routes/23.gpx
Littenweiler,routes/24.gpx
Les Bolles-du-Temple,routes/25.gpx
Etappe 4 Rye Folkstone,routes/26.gpx
Camí de Xesa-Camí de les Blores-Camí De Benifallet - Colada de la Mola Del Broi,routes/27.gpx
Day 2 Miravet - Xerta,routes/28.gpx
Bas,routes/29.gpx
Etappe 3 Bexhill Rye,routes/30.gpx
Motiers,routes/31.gpx
Alemannenstraße-Tannenbergweg-Sonnenbergstraße,routes/32.gpx
Flamengo Ride,routes/33.gpx
Day 1 - Flix - Miravet,routes/34.gpx
Landtong,routes/35.gpx
Ouddorp 130k,routes/36.gpx
Twintighoevenweg-Oudendijk-Zuidendijk,routes/37.gpx
Camí de les Moreres-Camí de la Font de Nadal-Via Verda del Baix Ebre,routes/38.gpx
Brouwersdijk-Oudendijk-Groenezoom,routes/39.gpx
Day 3 Xerta - Tortosa,routes/40.gpx
Avinguda del Port-Avinguda de França-Avinguda d'Aragó,routes/41.gpx
Hompelvoet,routes/42.gpx
Picayo,routes/43.gpx
Albufera Valencia,routes/44.gpx
Etappe 4 Rye Folkstone,routes/45.gpx
Day 2 Miravet - Xerta,routes/46.gpx
Etappe 3 Bexhill Rye,routes/47.gpx
Haven,routes/48.gpx
IJsselmonde,routes/49.gpx
Renesse 50k,routes/50.gpx
Voorne 100k,routes/51.gpx
Oostvoorne,routes/52.gpx
Day 1 - Flix - Miravet,routes/53.gpx
Etappe 2 Brighton Bexhill,routes/54.gpx
Twintighoevenweg-Oudendijk-Zuidendijk,routes/55.gpx
Zeeland102,routes/56.gpx
HWaard 132k,routes/57.gpx
Brouwersdijk-Oudendijk-Groenezoom,routes/58.gpx
Schouwen 102,routes/59.gpx
Rivier val,routes/60.gpx
Cougar mtn,routes/61.gpx
Chasseron,routes/62.gpx
NBLand 108k,routes/63.gpx
NBLand110,routes/64.gpx
Avinguda del Port-Avinguda de França-Avinguda d'Aragó,routes/65.gpx
Picayo,routes/66.gpx
NBland 120,routes/67.gpx
Burgh 55k,routes/68.gpx
Albufera Valencia,routes/69.gpx
OPlaat 87k,routes/70.gpx
Seattle elevation,routes/71.gpx
Les Bolles-du-Temple-La Forêt-Collège,routes/72.gpx
Renesse 50k,routes/73.gpx
Voorne 100k,routes/74.gpx
Andermatt,routes/75.gpx
Zeeland102,routes/76.gpx
Zeeland 130,routes/77.gpx
HWaard 132k,routes/78.gpx
Cougar mtn,routes/79.gpx
Schouwen 102,routes/80.gpx
Cougar mtn,routes/81.gpx
Seattle 10k,routes/82.gpx
Chasseron,routes/83.gpx
NBLand 108k,routes/84.gpx
NBLand110,routes/85.gpx
Hoeksche waard 91k,routes/86.gpx
NBland 120,routes/87.gpx
Burgh 55k,routes/88.gpx
Tiger Mtn,routes/89.gpx
OPlaat 87k,routes/90.gpx
Seattle elevation,routes/91.gpx
Les Bolles-du-Temple-La Forêt-Collège,routes/92.gpx
Andermatt,routes/93.gpx
Zeeland102,routes/94.gpx
Zeeland 130,routes/95.gpx
Cougar mtn,routes/96.gpx
Seattle 18k,routes/97.gpx
Zevenhuizen,routes/98.gpx
Zeeland133,routes/99.gpx
Seattle 28k,routes/100.gpx
Cranmore Black Cap,routes/101.gpx
Kau02,routes/102.gpx
Cranmore Kearsarge,routes/103.gpx
Boston rond 2 10k,routes/104.gpx
Cranmore mtn,routes/105.gpx
Maasvlakte 2,routes/106.gpx
Hoeksche waard 91k,routes/107.gpx
Seattle 10k Lake West,routes/108.gpx
Valkenburg,routes/109.gpx
Raamsdonkveer,routes/110.gpx
Seattle 10k Waterfront,routes/111.gpx
Seattle 10k Volunteer park,routes/112.gpx
Vianen,routes/113.gpx
GoudaDordt,routes/114.gpx
Kerkrade,routes/115.gpx
Kau01,routes/116.gpx
Kalmthoutse heide,routes/117.gpx
Zevenhuizen,routes/118.gpx
Boston rond 10k,routes/119.gpx
Zeeland133,routes/120.gpx
Cranmore Black Cap,routes/121.gpx
Kau02,routes/122.gpx
Cranmore Kearsarge,routes/123.gpx
Boston rond 2 10k,routes/124.gpx
Cranmore mtn,routes/125.gpx
Maasvlakte 2,routes/126.gpx
Hoeksche waard 91k,routes/127.gpx
Seattle 10k Lake West,routes/128.gpx
Valkenburg,routes/129.gpx
München ,routes/130.gpx
Raamsdonkveer,routes/131.gpx
Seattle 10k Waterfront,routes/132.gpx
Seattle 10k Volunteer park,routes/133.gpx
Vianen,routes/134.gpx
GoudaDordt,routes/135.gpx
Kerkrade,routes/136.gpx
Kau01,routes/137.gpx
Kalmthoutse heide,routes/138.gpx
Zevenhuizen,routes/139.gpx
Boston rond 10k,routes/140.gpx
Karlsruhe,routes/141.gpx
Cranmore Black Cap,routes/142.gpx
Kau02,routes/143.gpx
Cranmore Kearsarge,routes/144.gpx
Stubai 3,routes/145.gpx
Cranmore mtn,routes/146.gpx
Maasvlakte 2,routes/147.gpx
Seattle 10k Lake West,routes/148.gpx
Valkenburg,routes/149.gpx
München ,routes/150.gpx
Stubai 2,routes/151.gpx
Seattle 10k Waterfront,routes/152.gpx
Stubai 4,routes/153.gpx
Seattle 10k Volunteer park,routes/154.gpx
Zeeland 134k,routes/155.gpx
Vianen,routes/156.gpx
Stubai 8km,routes/157.gpx
Elferspitze: Stubaier Höhenweg,routes/158.gpx
Kerkrade,routes/159.gpx
Kau01,routes/160.gpx
Calobra - Puig Major - Alcudia,routes/161.gpx
Karlsruhe,routes/162.gpx
Maasvlakte,routes/163.gpx
Mallorca - Big Daddy,routes/164.gpx
Alcudia - Fermentor - Vicenc,routes/165.gpx
Stubai 3,routes/166.gpx
Seattle 10k Lake West,routes/167.gpx
München ,routes/168.gpx
Kats,routes/169.gpx
Stubai 2,routes/170.gpx
Seattle 10k Waterfront,routes/171.gpx
Stubai 4,routes/172.gpx
Seattle 10k Volunteer park,routes/173.gpx
Alcudia - Puig de Randa,routes/174.gpx
Zeeland 134k,routes/175.gpx
Stubai 8km,routes/176.gpx
Zeeland115,routes/177.gpx
Elferspitze: Stubaier Höhenweg,routes/178.gpx
Kerkrade,routes/179.gpx
Koningsdag,routes/180.gpx
Ames,routes/181.gpx
Carrer de Sants-Carretera de les Aigües-Carrer de Balmes,routes/182.gpx
Zwijndrecht 135k,routes/183.gpx
Hellevoet50,routes/184.gpx
Oesterdam,routes/185.gpx
Camino Fuente del Esparto-N-340-Calle Carretera a la Cueva,routes/186.gpx
Grienden,routes/187.gpx
Renesse,routes/188.gpx
Dordt2023,routes/189.gpx
Gravendeel,routes/190.gpx
Kalmthoutse heide,routes/191.gpx
Carrer de Roc Boronat-Carrer de la Marina-Ronda de Sant Pere,routes/192.gpx
Avenida Alcalde Antonio Villasclaras Rosas-Calle de la Molineta-Paseo de Burriana,routes/193.gpx
Hoogvliet,routes/194.gpx
La Rambla-Passeig Marítim de la Barceloneta-Carrer de Wellington,routes/195.gpx
Passeig de Circumval·lació-Passeig Marítim de la Barceloneta-La Rambla,routes/196.gpx
Benedensas,routes/197.gpx
Goeree95 klokmee,routes/198.gpx
Gran Via de les Corts Catalanes-Avinguda Diagonal-Carrer d'Aragó,routes/199.gpx
Mirador Angel,routes/200.gpx
Mulhacen ,routes/201.gpx
Nieuw-Beijerland,routes/202.gpx
Westkapelle,routes/203.gpx
Oostvoorne 60k,routes/204.gpx
Dirksland 50k,routes/205.gpx
Kaunas 1,routes/206.gpx
dcc1o,routes/207.gpx
La Cebadilla,routes/208.gpx
dcc2o,routes/209.gpx
Kaunas 2,routes/210.gpx
Albertville,routes/211.gpx
Zwijndrecht 134k,routes/212.gpx
Calle Liso-GR-411a-Carretera de la Sierra,routes/213.gpx
Goeree102,routes/214.gpx
Mira2,routes/215.gpx
dcc3o,routes/216.gpx
Zeeland118,routes/217.gpx
Binnenmaas,routes/218.gpx
Pampaneira,routes/219.gpx
Zeeland110,routes/220.gpx
Simonshaven,routes/221.gpx
HW Dordt Zwijndrecht,routes/222.gpx
Steenbergen,routes/223.gpx
Mt Charleston,routes/224.gpx
Seefeld omhoog,routes/225.gpx
Willemstad Dordt Papendrecht,routes/226.gpx
Schouwen,routes/227.gpx
Kaunas 1,routes/228.gpx
Eilanden,routes/229.gpx
2021-12-25,routes/230.gpx
Bru counterclock,routes/231.gpx
Vichy3,routes/232.gpx
Kaunas 2,routes/233.gpx
Bruinisse,routes/234.gpx
Vichy2,routes/235.gpx
Oude Tonge,routes/236.gpx
Vichy,routes/237.gpx
Seefeld 9k 2,routes/238.gpx
Voorne Putten,routes/239.gpx
Seefeld 9k,routes/240.gpx
Simonshaven,routes/241.gpx
HW Dordt Zwijndrecht,routes/242.gpx
Steenbergen,routes/243.gpx
Ouddorp 4bruggen,routes/244.gpx
Mt Charleston,routes/245.gpx
Willemstad Dordt Papendrecht,routes/246.gpx
Ouddorp Dinteloord ,routes/247.gpx
Schouwen,routes/248.gpx
Eilanden,routes/249.gpx
Zeeland 112,routes/250.gpx
Bru counterclock,routes/251.gpx
Vichy3,routes/252.gpx
Bruinisse,routes/253.gpx
Vichy2,routes/254.gpx
Oude Tonge,routes/255.gpx
Vichy,routes/256.gpx
Bar zwijn,routes/257.gpx
Ouddorp NBeverland,routes/258.gpx
Goeree,routes/259.gpx
Voorne Putten,routes/260.gpx
Simonshaven,routes/261.gpx
HW Dordt Zwijndrecht,routes/262.gpx
Luxemburg ,routes/263.gpx
Steenbergen,routes/264.gpx
Ouddorp 4bruggen,routes/265.gpx
Kalmthoutse heide,routes/266.gpx
Willemstad Dordt Papendrecht,routes/267.gpx
Ouddorp Dinteloord ,routes/268.gpx
Eilanden,routes/269.gpx
Luxemburg 2,routes/270.gpx
Zeeland 112,routes/271.gpx
Vichy3,routes/272.gpx
Luxemburg 3,routes/273.gpx
Bruinisse,routes/274.gpx
Vichy2,routes/275.gpx
Vichy,routes/276.gpx
Bar zwijn,routes/277.gpx
Ouddorp NBeverland,routes/278.gpx
Goeree,routes/279.gpx
Vijlenerbos 23k,routes/280.gpx
DCC day1,routes/281.gpx
DCC day2,routes/282.gpx
Leiden,routes/283.gpx
Schiedam,routes/284.gpx
Vaalsbroek 34k,routes/285.gpx
Bruggen,routes/286.gpx
Oosterschelde,routes/287.gpx
Hoeksche Waard,routes/288.gpx
Scurlage 2,routes/289.gpx
Valkenburg Gulpen,routes/290.gpx
Breezand,routes/291.gpx
Brussel,routes/292.gpx
Neeltje jans,routes/293.gpx
Waterloo to Woking,routes/294.gpx
Oosterschelde,routes/295.gpx
Carrefour Montagne Alpe d'Huez,routes/296.gpx
Stellendam,routes/297.gpx
Scurlage,routes/298.gpx
L'Alpe d'Huez downhill 3,routes/299.gpx
Drielandenroute,routes/300.gpx
Leiden,routes/301.gpx
Schiedam,routes/302.gpx
La Roche 26k,routes/303.gpx
Oosterschelde,routes/304.gpx
La Roche 45k,routes/305.gpx
Hoeksche Waard,routes/306.gpx
Scurlage 2,routes/307.gpx
Valkenburg Gulpen,routes/308.gpx
Breezand,routes/309.gpx
Brussel,routes/310.gpx
Rondje Berlijn 21k,routes/311.gpx
Waterloo to Woking,routes/312.gpx
Carrefour Montagne Alpe d'Huez,routes/313.gpx
Stellendam,routes/314.gpx
Sligo,routes/315.gpx
Scurlage,routes/316.gpx
L'Alpe d'Huez downhill 3,routes/317.gpx
Sedona,routes/318.gpx
Canning Town,routes/319.gpx
Berlijn 25k,routes/320.gpx
Doornse Gat,routes/321.gpx
Galway,routes/322.gpx
Jurassic Coast Challenge day 2,routes/323.gpx
La Chouffe,routes/324.gpx
Flagstaff 16,routes/325.gpx
Canning Town,routes/326.gpx
Doornse Gat 2,routes/327.gpx
Jurassic Coast Challenge day 3,routes/328.gpx
Kalmthoutseheide 2017,routes/329.gpx
Tucson,routes/330.gpx
Rondje Berlijn 21k,routes/331.gpx
route from gpx,routes/332.gpx
Rondje Dordt,routes/333.gpx
Flagstaff 14,routes/334.gpx
Sedona,routes/335.gpx
Goedereede,routes/336.gpx
Binnenmaas,routes/337.gpx
Mt Charleston marathon,routes/338.gpx
Albrandswaard,routes/339.gpx
Jurassic Coast Challenge day 1,routes/340.gpx
Den Bosch,routes/341.gpx
Doornse Gat,routes/342.gpx
Dordtse dijken,routes/343.gpx
Galway,routes/344.gpx
La Chouffe,routes/345.gpx
Flagstaff 16,routes/346.gpx
Canning Town,routes/347.gpx
Doornse Gat 2,routes/348.gpx
Kalmthoutseheide 2017,routes/349.gpx
Ridderkerk,routes/350.gpx
Tucson,routes/351.gpx
route from gpx,routes/352.gpx
Rondje Dordt,routes/353.gpx
Flagstaff 14,routes/354.gpx
Goedereede,routes/355.gpx
Kalmthoutseheide 46.5k,routes/356.gpx
Binnenmaas,routes/357.gpx
Mt Charleston marathon,routes/358.gpx
Veluwezoom,routes/359.gpx
Albrandswaard,routes/360.gpx
Den Bosch,routes/361.gpx
Doornse Gat,routes/362.gpx
Dordtse dijken,routes/363.gpx
Rondje Spa 2,routes/364.gpx
Rondje Dordt,routes/365.gpx
McFarland Peak,routes/366.gpx
Woking 30km,routes/367.gpx
Woking 21km,routes/368.gpx
Woking 15km,routes/369.gpx
Rondje Amstel,routes/370.gpx
Rondje Amstel,routes/371.gpx
Kalmthoutseheide 2017,routes/372.gpx
Ridderkerk,routes/373.gpx
Rondje Kalmthoutse Heide,routes/374.gpx
Piliers du Mont Noir,routes/375.gpx
Goedereede,routes/376.gpx
Rondje Spa 1,routes/377.gpx
Kalmthoutseheide 46.5k,routes/378.gpx
Mt Charleston marathon,routes/379.gpx
Veluwezoom,routes/380.gpx
Rondje Ventoux vanaf hotel Des Pins,routes/381.gpx
Rondje Spa 2,routes/382.gpx
Rondje Dordt,routes/383.gpx
McFarland Peak,routes/384.gpx
Woking 30km,routes/385.gpx
Rondje Bieschbosch,routes/386.gpx
Woking 21km,routes/387.gpx
Woking 15km,routes/388.gpx
Rondje Amstel,routes/389.gpx
Rondje Amstel,routes/390.gpx
Testroute,routes/391.gpx
Mont Ventoux from Bedoin Trail 2,routes/392.gpx
Ridderkerk,routes/393.gpx
Op en over Mont Ventoux vanuit hotel Des Pins,routes/394.gpx
Mont Ventoux from Bedoin Trail,routes/395.gpx
Rondje Kalmthoutse Heide,routes/396.gpx
Mt Charleston North Loop,routes/397.gpx
Piliers du Mont Noir,routes/398.gpx
Rondje Spa 1,routes/399.gpx
Fletcher Peak,routes/400.gpx
Rondje Ventoux vanaf hotel Des Pins,routes/401.gpx
Rondje Bieschbosch,routes/402.gpx
Rondje Kinderdijk,routes/403.gpx
Lillehammer strava segment hunt,routes/404.gpx
Testroute,routes/405.gpx
Mont Ventoux from Bedoin Trail 2,routes/406.gpx
Op en over Mont Ventoux vanuit hotel Des Pins,routes/407.gpx
Mont Ventoux from Bedoin Trail,routes/408.gpx
Lillehammer,routes/409.gpx
Oslo Strava Segment Hunt,routes/410.gpx
Mt Charleston North Loop,routes/411.gpx
