Date,Route ID
"May 19, 2024, 1:16:39 AM",3227083233333043094
"Jul 4, 2021, 6:54:46 PM",2846842260405942466
"Feb 23, 2022, 4:41:47 PM",2931607552392577118
"May 31, 2024, 6:33:41 AM",3231511671722983286
"Jun 4, 2024, 7:46:58 PM",3233160857642927672
"Sep 16, 2023, 3:29:31 PM",3138150450487300314
"Dec 28, 2025, 8:22:36 PM",3440434726543455486
"Oct 25, 2024, 6:54:34 AM",3284787941678077094
"Sep 20, 2022, 6:30:10 AM",3007192699069734390
"Feb 14, 2026, 7:59:38 PM",3457828796816278982
"Aug 19, 2021, 11:29:19 AM",2863400001208141284
"Aug 13, 2021, 11:30:35 AM",2861225991295428530
"Jul 20, 2024, 8:04:28 PM",3249835105095547322
"Sep 6, 2025, 4:45:43 PM",3399451274795708842
"Sep 11, 2023, 6:22:37 PM",3136382069348027610
"Dec 20, 2024, 10:57:49 AM",3305142879479292140
"Jul 28, 2024, 5:00:20 AM",3252506675605241386
"May 8, 2024, 1:57:23 PM",3223288409179521350
"Aug 18, 2023, 7:05:58 AM",3127514477220828378
"Apr 3, 2024, 7:26:37 PM",3210687688963523566
"Jun 21, 2022, 1:38:01 PM",2974323073626759344
"Oct 27, 2025, 7:56:51 AM",3417776257512963196
"Sep 20, 2022, 6:31:37 AM",3007193060870242172
"May 16, 2023, 3:29:04 PM",3093576626979356744
"Dec 21, 2021, 8:10:16 AM",2908286004055282706
"Jul 25, 2022, 5:05:19 PM",2986696430382090772
"Sep 13, 2024, 10:19:11 PM",3269800338309544102
"May 17, 2024, 2:51:46 PM",3226563585933315998
"May 10, 2024, 6:05:28 PM",3224075617311443366
"Jun 28, 2025, 7:23:40 PM",3374123874866588400
"Dec 30, 2025, 4:41:40 PM",3441109063742797474
"Apr 26, 2023, 7:24:08 PM",3086388028611726986
"Sep 14, 2023, 5:22:46 PM",3137454175159571842
"Apr 17, 2024, 12:06:35 PM",3215650383637451118
"Nov 18, 2020, 9:01:35 PM",2764249740347553482
"May 18, 2025, 9:09:29 PM",3359292600183569892
"Apr 12, 2024, 6:44:10 AM",3213757304930472048
"Nov 8, 2024, 9:49:37 PM",3290086621673402072
"Dec 30, 2025, 4:25:00 PM",3441099522438904300
"Feb 14, 2026, 7:50:46 PM",3457826669002961350
"May 16, 2023, 4:14:28 PM",3093588053721328046
"Aug 19, 2024, 9:41:37 AM",3260549994389097388
"Jun 9, 2023, 7:48:02 PM",3102339108825239174
"Jul 1, 2021, 7:59:10 AM",2845590108697502700
"Jun 23, 2022, 9:52:31 PM",2975172297545620390
"Sep 12, 2024, 8:46:15 PM",3269414564658800806
"May 6, 2022, 1:11:42 PM",2957646610283179142
"Jun 5, 2025, 9:00:37 AM",3365632159284719942
"Sep 23, 2022, 4:00:16 PM",3008423332753494228
"Apr 17, 2024, 1:03:37 PM",3215664736810617730
"May 6, 2022, 12:48:03 PM",2957640660623195942
"Dec 6, 2023, 8:57:13 PM",3167586335587491788
"Jun 27, 2022, 7:29:07 PM",2976585758730186760
"Mar 9, 2025, 3:59:25 PM",3333847421989358922
"Sep 14, 2024, 5:37:39 PM",3270091879241938550
"Jun 23, 2022, 10:18:22 AM",2974997609034176422
"May 11, 2021, 7:44:13 PM",2827285760732175030
"May 5, 2023, 7:30:21 PM",3089651083017481268
"Feb 14, 2026, 7:44:19 PM",3457840458426864014
"Oct 27, 2025, 8:16:23 AM",3417778747414655062
"Jul 22, 2025, 12:56:55 PM",3382723856459579994
"Jun 10, 2021, 5:53:22 PM",2838129500487069002
"Dec 21, 2021, 8:05:52 AM",2908284897182904338
"Sep 20, 2022, 6:31:19 AM",3007192987435628412
"Oct 10, 2021, 7:25:18 PM",2882363953194241088
"Jun 19, 2022, 3:45:20 PM",2973630339589712224
"Aug 13, 2022, 4:10:33 PM",2993568020774274352
"Jul 31, 2022, 3:26:25 PM",2988845869103011534
"Sep 13, 2023, 2:42:30 PM",3137051453845749768
"Dec 25, 2024, 1:53:27 PM",3306999019234796790
"Apr 24, 2024, 7:49:44 PM",3218303652241040764
"Mar 26, 2023, 5:33:21 AM",3074944931656839816
"May 17, 2025, 3:56:30 PM",3358851449537313348
"Sep 15, 2025, 7:12:06 PM",3402749607344238244
"Aug 16, 2025, 8:05:11 PM",3391891327456320542
"Jun 2, 2023, 11:38:59 AM",3099679320431801256
"May 19, 2024, 1:05:59 AM",3227080546391221644
"May 19, 2024, 6:48:30 PM",3227347939833430326
"Dec 30, 2025, 4:15:07 PM",3441094192909362668
"Sep 15, 2024, 6:36:41 AM",3270287929502622690
"Dec 21, 2021, 8:07:42 AM",2908285357152512540
"Jun 19, 2022, 3:48:03 PM",2973631022069861728
"Jul 7, 2022, 1:56:47 PM",2980126003255079594
"Sep 9, 2023, 7:15:59 PM",3135670726034689410
"May 19, 2024, 6:48:34 PM",3227347955907561782
"Apr 14, 2022, 8:51:13 AM",2949608525238178742
"Nov 10, 2023, 7:32:09 AM",3157961649387237054
"Oct 13, 2021, 3:26:10 PM",2883390938584968870
"Aug 21, 2021, 11:41:10 AM",2864127757788943008
"Jun 10, 2021, 8:51:41 PM",2838174372690321280
"Jul 16, 2021, 8:09:27 PM",2851209708002751728
"Oct 15, 2021, 7:16:28 PM",2884173671594412974
"Jan 2, 2023, 2:06:05 PM",3044995768866086580
"Jan 13, 2021, 9:23:39 AM",2784367819249115280
"Jun 19, 2022, 3:17:50 PM",2973623417469945762
"May 16, 2023, 3:29:28 PM",3093576727214925230
"Jan 20, 2025, 10:12:14 AM",3316365431234153914
"Jun 21, 2022, 8:14:50 AM",2974241745604979888
"Jan 9, 2023, 4:45:11 PM",3047572523030570310
"Dec 20, 2024, 10:55:34 AM",3305142314021992576
"Oct 24, 2021, 5:29:52 AM",2887227141123136688
"May 16, 2023, 3:29:46 PM",3093576803993410244
"Sep 15, 2024, 5:44:21 PM",3270455951040531058
"Aug 21, 2021, 11:34:34 AM",2864126095704113400
"Jul 4, 2021, 6:58:01 PM",2846843079390478530
"Jun 21, 2024, 6:26:48 AM",3239120082127264768
"Sep 27, 2023, 7:00:06 AM",3142008516154532872
"May 2, 2022, 1:52:23 PM",2956207299428519074
"Apr 17, 2024, 6:31:59 AM",3215566177999333234
"May 6, 2022, 12:57:05 PM",2957642933257973880
"Dec 6, 2023, 8:58:23 PM",3167586627227651040
"Aug 7, 2024, 10:17:12 AM",3256210294722872570
"Oct 8, 2021, 8:14:59 PM",2881651683811617174
"Dec 25, 2024, 5:56:39 PM",3307060222017226780
"Feb 23, 2022, 4:40:06 PM",2931607131211205560
"Sep 12, 2023, 6:31:29 PM",3136746691153181914
"Jul 18, 2021, 12:25:42 PM",2851817778140989048
"Jun 28, 2024, 2:38:04 PM",3241780429072171618
"Dec 20, 2024, 10:52:03 AM",3305141426730134764
"Apr 17, 2024, 6:28:51 AM",3215565387369302182
"Jun 1, 2025, 9:30:41 AM",3364190172007363636
"Apr 23, 2022, 7:47:42 PM",2953035226914253586
"Dec 13, 2021, 8:45:05 PM",2905576854130624970
"Jul 18, 2021, 12:30:39 PM",2851819024991932628
"Aug 23, 2024, 6:46:10 AM",3261955391689745174
"Jul 14, 2024, 7:57:25 PM",3247659002787803498
"Apr 24, 2024, 8:01:46 PM",3218306680489227714
"Apr 25, 2022, 8:16:38 AM",2953586088710588008
"Feb 8, 2026, 8:54:21 AM",3455497481980525706
"Jul 12, 2024, 9:25:42 AM",3246775252557275822
"Jul 27, 2024, 8:06:35 PM",3252372351878566644
"May 24, 2024, 12:44:30 AM",3228887082703548466
"Nov 10, 2023, 7:30:14 AM",3157961167757214038
"May 16, 2025, 3:39:23 PM",3358484755981704226
"Aug 11, 2021, 1:25:24 PM",2860530110181572340
"Nov 19, 2025, 9:39:18 AM",3426142138386623898
"Feb 17, 2025, 9:14:04 PM",3324695480132267380
"Apr 24, 2023, 4:53:25 PM",3085625322216654424
"Jun 10, 2021, 8:17:51 PM",2838165859527023488
"May 2, 2022, 7:44:26 PM",2956295892571067820
"Jul 18, 2021, 12:37:54 PM",2851820846964505208
"Sep 11, 2023, 2:50:42 PM",3136328739930839426
"Jun 21, 2022, 8:21:21 AM",2974243384587213208
"Jan 20, 2025, 11:08:23 AM",3316379563200463852
"Aug 3, 2024, 10:56:53 AM",3254770729095450546
"May 19, 2024, 3:22:28 PM",3227296090711532070
"Jan 17, 2025, 1:55:56 PM",3315334563729665884
"Sep 20, 2022, 12:21:14 PM",3007281044864608124
"Apr 17, 2024, 1:07:00 PM",3215665588011446934
"May 8, 2024, 7:59:28 PM",3223379530283818618
"Apr 19, 2024, 7:54:29 AM",3216311713095699226
"Nov 10, 2023, 7:26:40 AM",3157960265971311294
"Jul 29, 2022, 2:29:48 PM",2988106845215462804
"Apr 20, 2022, 7:55:08 AM",2951768740240955510
"Jun 10, 2021, 5:54:51 PM",2838129873931394766
"Jun 9, 2022, 8:22:01 PM",2970076089298543290
"Apr 17, 2022, 11:50:52 AM",2950740899352095712
"May 20, 2022, 7:04:59 AM",2962627752984040276
"Aug 16, 2022, 11:55:39 AM",2994591036598019990
"Jul 8, 2024, 4:43:57 PM",3245435989996054876
"May 11, 2021, 7:34:10 PM",2827283231700672388
"Jun 3, 2025, 7:35:58 PM",3365067271810632588
"Aug 29, 2022, 12:15:06 PM",2999306970794033052
"May 28, 2025, 3:10:11 PM",3362826061767116532
"Jul 19, 2021, 6:24:50 PM",2852270543372820916
"Jul 9, 2021, 8:02:17 PM",2848671191039317130
"Mar 25, 2024, 10:07:30 AM",3207285494639928900
"May 17, 2022, 5:11:30 PM",2961693225491362590
"May 30, 2019, 4:13:35 AM",19211455
"Apr 17, 2025, 11:54:04 AM",3347918802734058208
"Dec 23, 2021, 10:11:34 AM",2909041304523832338
